LONGITUDE,LATITUDE,SRCE_CNTRE,DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM
139.0491282,-34.5540975,,JOHNSONS ALLUVIALS,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
139.2301172,-34.5370615,workings,KEYNETON PROPRIETARY,"Lead, Silver, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein unit 4,Carrickalinga Head Formation
139.1375952,-34.2821925,,LEAKES PASS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Holocene alluvial/fluvial sediments,Wilyerpa Formation
138.9857182,-34.7803495,,ERICA,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein unit 4,Kanmantoo Group
138.9695212,-34.7895785,,ST PATRICK,"Ochre, Gold, Iron Ore",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Tertiary-Pleistocene regolith/colluvial sediments,Burra Group
136.8893697,-30.4403264,whenan shaft,OLYMPIC DAM,"Copper, Silver, Gold, Iron, Rare Earths, Uranium, Uranium Oxide",World-wide Significance,GAWLER CRATON,Olympic Dam Breccia Complex,Roxby Downs Granite
136.8893697,-30.4403264,whenan shaft,OLYMPIC DAM,"Copper, Silver, Gold, Iron, Rare Earths, Uranium, Uranium Oxide",World-wide Significance,GAWLER CRATON,,
136.8893697,-30.4403264,whenan shaft,OLYMPIC DAM,"Copper, Silver, Gold, Iron, Rare Earths, Uranium, Uranium Oxide",World-wide Significance,GAWLER CRATON,,
138.6786212,-34.9613535,track,WATERFALL GULLY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Saddleworth Formation
138.8236562,-34.6982485,shaft,LADY ALICE,"Gold, Copper",Locally Significant,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8224942,-34.7009225,main shaft,LADY EDITH,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8225922,-34.6675945,,LADY PEARCE EXTENDED,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Emeroo Subgroup
138.8214912,-34.6659065,open cut & tunnel,LADY PEARCE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8358972,-34.6636835,workings?,L'ESPERANCE REEF,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Barossa Complex
138.8703402,-34.6054175,shallow scrape,LYNDOCH ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Miocene-Pliocene unit 2,
138.8998172,-34.6352605,,LYNDOCH REEF,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Skillogalee Dolomite
135.108746,-31.0897103,,BROPHYS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
135.08507,-31.0818443,,HILL VIEW,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
134.996599,-30.8660103,,PIONEER,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Archaean rocks
