DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
OLD GRANITE DAM,"Zinc, Copper",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Umberatana Group,140.2963111,-32.6436215,near hole DML OGRB 5
EMU DAM,"Lead, Zinc",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Adelaide Supergroup,Adelaide Supergroup,140.1210152,-31.2678345,near hole DD98EMU002
RAM DAM,"Zinc, Lead",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),hydrothermal alteration,Bimba Formation,140.5344001,-31.8935265,near hole RDD 1
MAMMOTH,"Zinc, Lead",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Bimba Formation,140.9710021,-31.6510486,near hole DDHIN6
NANCATEE,"Copper, Zinc",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Umberatana Group,Umberatana Group,140.3672032,-31.7870685,near hole KP 31
WIRRIGENDA,"Zinc, Copper, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hutchison Group,136.3383467,-32.8200264,near RAM 130
DEATH ADDER,"Graphite, Lead, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.3281627,-32.7457224,near RAM 292
HOPPING JACK WELL,"Zinc, Silver, Copper, Lead, Uranium",Low Significance,COULTA SUBDOMAIN (GAWLER CRATON),quartz vein,Archaean rocks,135.4920868,-33.8355254,near MH36 DH44
SMITHAMS,"Lead, Copper, Zinc",Locally Significant,MOONTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Wallaroo Group,137.7504244,-33.9637724,hole DDH 97
WINNIE PINNIE CENTRAL,"Lead, Silver, Copper, Zinc",Low Significance,STUART SHELF,Tapley Hill Formation,Whyalla Sandstone,137.0769536,-31.9378384,near hole WP 27
MOSELEY DAM,"Copper, Lead, Zinc",Low Significance,STUART SHELF,hydrothermal alteration,Tapley Hill Formation,136.9856167,-31.5394544,near hole MGC 38
TANK HILL,"Zinc, Silver, Gold, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hutchison Group,136.4488397,-32.6048524,E of Tank Hill
AJAX BORE,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Ajax Limestone,Ajax Limestone,138.4494025,-30.6818354,near hole EZP 291
BONAVENTURA,"Zinc, Gold, Lead",Locally Significant,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),hydrothermal alteration,Delamerian igneous unit 16,137.2320454,-35.7070164,near hole GRA 7
