Deposit_Name,Deposit_Commodities,Size_Type_Value,Geological_Province,Local_Ore_Control,Ore_Lithology,Ore_Strat_Name,Host_Lithology,Host_Strat_Name,Longitude,Latitude
RED RANGE NORTH,"Zinc, Silver, Copper, Lead",Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,DOLOMITIC LIMESTONE,Ajax Limestone,138.345445,-30.887907
WALTERS,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SHALE,Bunyeroo Formation,138.399371,-30.893061
CAINES,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),hydrothermal alteration,SHALE,Bunyeroo Formation,138.255696,-30.789716
BIMBA,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Lithological-non specific,GOSSAN,deep weathering,CALCSILICATE ROCK,Bimba Formation,140.199057,-31.933083
BILLEROO NORTH,Copper,Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,MYLONITE,Willyama Supergroup,139.914636,-31.850517
HILLS CLAIM,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,SHALE,Bunyeroo Formation,138.400194,-30.87035
KOHINOOR WEST,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Delamerian igneous unit 16,137.41199,-35.757708
AMERICAN RIVER,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fold,VEIN (UNDIFFERENTIATED),hydrothermal alteration,GREYWACKE,Tapanappa Formation,137.803603,-35.757595
DESTREES BAY,Heavy Minerals,Low Significance,COASTAL QUATERNARY,-,SAND,Semaphore Sand Member,-,-,137.621237,-35.90619
KOHINOOR,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SANDSTONE,Tapanappa Formation,137.418081,-35.754341
MORRISON BEACH,Heavy Minerals,Locally Significant,COASTAL QUATERNARY,-,SAND,Semaphore Sand Member,SAND,Semaphore Sand,137.666408,-35.740257
DEBNEYS,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,PHYLLITE,Tapanappa Formation,137.760826,-35.728542
