Deposit_Name,Deposit_Commodities,Size_Type_Value,Geological_Province,Local_Ore_Control,Ore_Lithology,Ore_Strat_Name,Host_Lithology,Host_Strat_Name,Longitude,Latitude
FREEWAY NORTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,GOSSAN,deep weathering,SCHIST,Tapanappa Formation,139.010253,-35.113383
STIRLING HILL,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,SCHIST,Tapanappa Formation,138.920395,-35.199683
ACLAIR SOUTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.983682,-35.13422
BREADALBANE,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Tapanappa Formation,138.911081,-35.211694
WILLOUGHBY,Molybdenum,Low Significance,ADELAIDE GEOSYNCLINE,Geochemical-fluid,GRANITE,Encounter Bay Granite,GRANITE,Encounter Bay Granite,138.134461,-35.84158
BOMB ALLEY,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,FAULT BRECCIA,breccia unit 1,QUARTZITE,Delamerian igneous unit 16,137.458895,-35.747474
TIPPINS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SANDSTONE,Sturt Tillite,138.018233,-35.735425
RAINBOWS END,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,FAULT BRECCIA,Tapanappa Formation,METASILTSTONE,Tapanappa Formation,137.314472,-35.739254
DAWS,"Gold, Amethyst, Corundum, Heavy Minerals, Sapphire",Low Significance,-,-,GRAVEL,Holocene alluvial/fluvial unit 1,-,-,137.25888,-35.821427
GRAINGERS SOUTH,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Kanmantoo Group,137.230342,-35.705778
BLACK FEATHER,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,SHALE,Bunyeroo Formation,138.400743,-30.873247
SLADE POINT,Heavy Minerals,Low Significance,COASTAL QUATERNARY,-,SAND,Saint Kilda Formation unit 15,-,-,134.17455,-33.046341
IRON BLOW,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,IRONSTONE (UNDIFF. ORIGIN),hydrothermal alteration,SHALE,Wonoka Formation,138.325186,-30.815385
NORTONS,Uranium,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,PEGMATITE (NO COMPOSITION),pegmatite,GNEISS,Rathjen Gneiss,139.156751,-34.772742
PALMER HILL,"Gold, Copper",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GNEISS,Backstairs Passage Formation,139.159575,-34.846806
MONSTER LODE,"Gold, Copper",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,138.923502,-35.197381
MENKOO,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,METASEDIMENT,Tapanappa Formation,SCHIST,Tapanappa Formation,138.993969,-35.074981
ACLAIR WEST,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-joint,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,GREYWACKE,Tapanappa Formation,138.97567,-35.123179
MOUNT ROEBUCK SOUTH,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,DOLOMITE ROCK,Nuccaleena Formation,138.988157,-30.875546
PINDA CREEK SOUTH,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,BRECCIA (UNDIFF. ORIGIN),breccia unit 3,138.885065,-30.785293
WOODS,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 3,METASEDIMENT,Balquhidder Formation,138.710667,-35.424417
WOODS ALLUVIALS,Gold,Low Significance,-,-,ALLUVIUM,Pleistocene alluvial/fluvial sediments,-,-,138.658193,-35.525002
PETREL COVE,Heavy Minerals,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,SAND,Saint Kilda Formation unit 15,-,-,138.591481,-35.595078
GLEN BAR,"Gold, Arsenic",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GREYWACKE,Balquhidder Formation,138.576299,-35.600813
BRADFORDS,"Copper, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,GREYWACKE,Tapanappa Formation,138.758649,-35.330213
MCDONALD,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GREYWACKE,Tapanappa Formation,138.436645,-35.522477
AARONS HOLE,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Backstairs Passage Formation,138.183499,-35.645443
CAINS,"Arsenic, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GREYWACKE,Tapanappa Formation,138.133098,-35.634796
LADY JANE SOUTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METAGREYWACKE,Tapanappa Formation,139.092007,-35.060966
WHEAL PROSPER NORTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,139.02605,-35.104357
WHEAL PIONEER,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,GREYWACKE,Tapanappa Formation,139.027589,-35.117905
KANMANTOO WEST,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.002299,-35.093148
ANGAS,"Zinc, Silver, Gold, Copper, Lead",Locally Significant,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,QUARTZ-GAHNITE ROCK (METASOMATIC),Tapanappa Formation,CALCSILICATE ROCK,Tapanappa Formation,138.919616,-35.251686
SA ARSENIC MINING CO.,Arsenic,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.028047,-35.1171
KANMANTOO NO.3,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.005336,-35.076521
KANMANTOO NO.1,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.011077,-35.09753
ROCKLEIGH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Backstairs Passage Formation,139.127253,-35.012166
RODWELL CREEK WEST,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.935014,-35.199213
LADY JANE,"Gold, Arsenic, Copper",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.092451,-35.059249
PREAMIMMA NORTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.091539,-35.021121
SMITH AND SOLOMONS,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.009512,-35.021954
TRESEVEAN,"Copper, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.003325,-35.082716
WHEAL FRIENDSHIP,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,GREYWACKE,Tapanappa Formation,139.031808,-35.092796
CHAIRLIFT,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Encounter Bay Granite,138.628179,-35.563175
SURPRISE,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,META-ARKOSE,Tapanappa Formation,138.377974,-35.584415
BULLAPARATTA,Gold,Low Significance,-,Lithological-non specific,ALLUVIUM,Holocene alluvial/fluvial unit 1,-,-,138.410963,-35.597642
QUARRY,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,138.953659,-35.130899
ACLAIR NO.3,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.992282,-35.125889
ACLAIR NO.1,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,138.990887,-35.124603
BACK CALLINGTON,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.003237,-35.104163
WHEAL EVERLY,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-contact,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Tapanappa Formation,138.949983,-35.189189
BALYARTA,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.989414,-35.090772
EMILY STAR,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Tapanappa Formation,138.996256,-35.102516
SEDAN 74,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASANDSTONE,Carrickalinga Head Formation,139.229154,-34.51513
KANAPPA SOUTH,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Carrickalinga Head Formation,139.217487,-34.721354
MILENDELLA CREEK,Gold,Low Significance,-,-,ALLUVIUM,Holocene alluvial/fluvial unit 1,METASEDIMENT,Backstairs Passage Formation,139.195294,-34.807041
O.B.Y.,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Palmer Granite,139.149499,-34.849894
PALMER GL 1665,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Palmer Granite,139.151382,-34.853709
PALMER,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GRANITE,Palmer Granite,139.150586,-34.850181
DEWELLS,Gold,Low Significance,-,-,ALLUVIUM,Holocene alluvial/fluvial unit 1,METASEDIMENT,Backstairs Passage Formation,139.048627,-34.786558
KITTICOOLA EAST,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASEDIMENT,Backstairs Passage Formation,139.158208,-34.878597
ACLAIR NO.4,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,138.993914,-35.126458
WHEAL MARY,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Geochemical-contacts,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.006829,-35.087274
MARKS AND SKINNER,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Palmer Granite,139.152002,-34.850473
CHELLASTON,"Silver, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASEDIMENT,Tapanappa Formation,138.914288,-35.223739
SOUTH HILL,"Copper, Silver, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.969778,-35.108565
BREMER,"Copper, Gold, Bismuth",Locally Significant,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein unit 3,SCHIST,Tapanappa Formation,139.037404,-35.113557
WONGA WONGA,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Tapanappa Formation,139.032919,-35.096986
WHEAL FORTUNE,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.9969,-35.107574
PARINGA EAST,"Copper, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fold,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.992036,-35.091175
MOUNT BARKER CREEK,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,138.952484,-35.133246
KANMANTOO NO.2,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.009202,-35.084426
MENGLER HILL,Gold,Low Significance,-,-,CONGLOMERATE,Miocene-Pliocene unit 2,SANDSTONE,Kanmantoo Group,139.034196,-34.537393
WHEAL ELIZABETH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Tapanappa Formation,138.965875,-35.053686
KANMANTOO NO.4,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.006715,-35.073929
FRAHNS,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,139.09288,-35.076555
KANMANTOO NORTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tapanappa Formation,139.007967,-35.072055
THE HORSE,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Backstairs Passage Formation,139.062366,-34.717714
STANDISH,Gold,Low Significance,-,Lithological-contact,ALLUVIUM,Holocene alluvial/fluvial unit 2,SCHIST,Kanmantoo Group,139.05097,-34.565612
KALTUNGA,Gold,Low Significance,-,-,ALLUVIUM,Holocene alluvial/fluvial unit 2,METASANDSTONE,Carrickalinga Head Formation,139.044999,-34.564614
SEDAN 85,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Carrickalinga Head Formation,139.11902,-34.534852
MONARTO 84,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Carrickalinga Head Formation,139.158173,-35.146555
SEDAN 83,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Carrickalinga Head Formation,139.170861,-34.59055
SEDAN 82,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Carrickalinga Head Formation,139.235369,-34.612868
SEDAN 81,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Carrickalinga Head Formation,139.240414,-34.60636
SEDAN 80,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Carrickalinga Head Formation,139.240276,-34.60257
UNION MINING VENTURE,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,MARBLE,Angaston Marble,139.048467,-34.472073
OMOND AND YOUNG,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,GRANITE,Palmer Granite,139.145346,-34.852604
MILLBRAE,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.004718,-35.025301
SNAKE GULLY,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SCHIST,Tapanappa Formation,139.004567,-35.045043
BREMER 4,"Copper, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fold,VEIN (UNDIFFERENTIATED),hydrothermal alteration,METASANDSTONE,Tapanappa Formation,139.033889,-35.097906
CHIMNEY CREEK ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,-,ALLUVIUM,Holocene alluvial/fluvial unit 2,SANDSTONE,Carrickalinga Head Formation,139.055165,-34.571629
CLIFTON ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Lithological-non specific,ALLUVIUM,Tertiary-Pleistocene alluvial/fluvial sediments,SILTSTONE,Carrickalinga Head Formation,139.03965,-34.53712
POONAWURTA,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),-,-,-,LIMESTONE,Carrickalinga Head Formation,139.154675,-34.564135
RHINE NORTH,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,GNEISS,Backstairs Passage Formation,139.178241,-34.608975
MUELLER,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,FELSIC INTRUSIVE,Delamerian igneous unit 4,139.117387,-34.697964
WHEAL PROSPER,"Copper, Silver, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,MARBLE,Carrickalinga Head Formation,139.213451,-34.712052
JACOB CREEK,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Tarcowie Siltstone,139.096976,-34.522067
HOPE,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SANDSTONE,Carrickalinga Head Formation,139.160501,-34.595622
DEWELL,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Kanmantoo Group,139.180061,-34.667273
CRINNIS,Copper,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Kanmantoo Group,139.035559,-34.511808
ELEANOR,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Geochemical-fluid,GOSSAN,deep weathering,SLATE,Burra Group,138.968851,-34.791004
BLUMBERG PROSPECTING,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SLATE,Saddleworth Formation,138.971826,-34.794497
ROBERTSONS,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SHALE,Tarcowie Siltstone,139.271068,-32.742378
ORAMA HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Wilyerpa Formation,139.302454,-32.013384
NACKARA REWARD,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Ulupa Siltstone,139.291241,-32.82792
BEVERLEY,"Uranium, Uranium Oxide",Significant to SA,TERTIARY PALAEOCHANNELS,Geochemical-fluid,SAND,Namba Formation,CLAY (SEDIMENTARY),Namba Formation,139.591735,-30.191365
GUNSIGHT,"Copper, Cobalt, Rare Earths, Uranium",Locally Significant,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Structural-fault/shear/fracture,SKARN,sheared rocks unit 1,BANDED IRON FORMATION,sheared rocks unit 1,139.647472,-30.003819
LAMBERTS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Lithological-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SILTSTONE,Appila Tillite,139.304004,-32.728631
MOUNT BILLY A,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,METASOMATIC/THERMAL/HYDROTHERMAL ROCK,hydrothermal alteration,VOLCANICS,Wooltana Volcanics,138.765237,-31.397254
ALEXANDER ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,-,ALLUVIUM,Miocene-Pliocene unit 2,SCHIST,Burra Group,138.977297,-34.77187
BLACK DOG,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASEDIMENT,Carrickalinga Head Formation,138.984147,-34.771191
BLUMBERG,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,SANDSTONE,Burra Group,138.97587,-34.796647
BLUMBERG ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Other,ALLUVIUM,Miocene-Pliocene unit 2,SCHIST,Belair Subgroup,138.968444,-34.79432
BROADBENTS ALLUVIALS,Gold,Low Significance,-,-,ALLUVIUM,Holocene alluvial/fluvial unit 1,-,-,138.984581,-34.785112
COBRA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,PHYLLITE,Burra Group,138.98281,-34.780523
DUSCOVITCHES GULLY,Gold,Low Significance,-,-,ALLUVIUM,Miocene-Pliocene unit 2,QUARTZITE,Burra Group,138.976101,-34.792108
GERMANIA,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,QUARTZITE,Burra Group,138.979102,-34.780118
HAITS,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Balquhidder Formation,138.603674,-35.537722
CLARET,Copper,Low Significance,ADELAIDE GEOSYNCLINE,Structural-fault/shear/fracture,FAULT BRECCIA,hydrothermal alteration,CONGLOMERATE,Blue Mine Conglomerate,139.374685,-30.328522
MOUNT NEIL,Copper,Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),Lithological-contact,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Brindana Schist,139.596241,-30.027103
BLUMBERG BOULDER,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,SCHIST,Kanmantoo Group,138.997074,-34.798974
BLUMBERG UNITED,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Structural-non specific,ALLUVIUM,Holocene alluvial/fluvial unit 2,VEIN (UNDIFFERENTIATED),quartz vein unit 4,138.980799,-34.829898
BERLING,Gold,Low Significance,-,Structural-fault/shear/fracture,ALLUVIUM,Holocene alluvial/fluvial unit 2,METASANDSTONE,Backstairs Passage Formation,138.982765,-34.825513
BURTONS,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein unit 4,METASANDSTONE,Backstairs Passage Formation,138.982157,-34.852055
HISCOCKS,Arsenic,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-non specific,VEIN (UNDIFFERENTIATED),quartz vein,METASANDSTONE,Backstairs Passage Formation,138.928388,-34.949104
ALLEN AND DRIVER,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Structural-fault/shear/fracture,VEIN (UNDIFFERENTIATED),quartz vein,METASEDIMENT,Kanmantoo Group,138.986803,-34.776354
